"","INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","OLD_CLAIM"
"1",1,1,1.13088707774997e-05,1,31,1,12,28.7054001888146,1,1,1,2,1,7,22,2,31.7332633052449,1,6,2,1,1,1,3,11,2,0.693147180559945
"2",2,1,2.14359083102557,2,23,2,12,28.0891438103763,2,1,1,2,2,7,17,2,29.3087017795057,5,1,1,191,2,1,3,2,2,5.25749537202778
"3",3,0,0,1,27,3,13,25.6124969497314,2,1,1,1,2,2,26,1,9.9498743710662,9,5,1,1,1,1,1,11,1,0.693147180559945
"4",4,1,249.437267055945,1,18,3,13,15.2970585407784,2,1,1,2,2,3,70,2,16.8226038412607,5,3,1,1,1,2,1,5,1,0.693147180559945
"5",5,1,603.247969444323,1,42,1,13,36.4005494464026,1,1,1,2,2,7,41,2,25.7681974534503,1,1,2,823,3,1,5,2,2,6.71417052990947
"6",6,0,0,1,29,1,15,32.78719262151,1,5.1997126525599,2,2,1,8,3,1,34.1760149812701,1,2,1,111,2,1,3,13,2,4.71849887129509
"7",7,1,0.00191414033505974,1,43,1,13,23.4946802489415,1,4.87110059795621,2,1,2,2,12,1,20.3469899493758,1,4,1,1,1,1,1,2,2,0.693147180559945
"8",8,1,524349450.623741,1,37,1,13,21.3307290077015,1,4.44960558625406,2,2,2,2,23,1,33.2114438108312,3,2,1,1,1,1,6,2,2,0.693147180559945
"9",9,0,0,3,19,3,13,40.3856410126173,2,5.95315801011015,1,1,1,2,1,1,34.8855270850248,3,1,1,1,1,1,1,10,1,0.693147180559945
"10",10,1,597676.340201706,1,33,1,9,41.7252920900501,1,1,1,1,4,4,18,2,36.8781778291715,3,4,1,1,1,1,4,2,2,0.693147180559945
"11",11,0,0,1,25,1,13,28.7749891398763,1,4.76839952204135,2,2,2,2,20,1,32.7719392163479,1,1,1,1,1,1,3,12,1,0.693147180559945
"12",12,1,9965.47655814131,1,24,3,8,13.4536240470737,2,4.29407602571098,1,1,2,3,25,2,24.6576560118759,1,1,2,1,1,2,3,2,2,0.693147180559945
"13",13,1,0.00300156655050895,2,20,3,14,17.6351920885484,2,1,1,1,2,2,58,1,17.1464281994822,3,4,1,1,1,1,1,7,2,0.693147180559945
"14",14,0,0,1,19,4,13,29.6647939483827,1,4.08329915638483,2,2,3,6,11,2,19.2353840616713,5,1,1,106,3,1,3,17,2,4.67282883446191
"15",15,0,0,1,17,4,13,16,1,3.79308509922176,2,2,2,3,22,2,24.9799919935936,3,1,2,1,1,2,1,2,1,0.693147180559945
"16",16,1,731.325869642895,1,18,3,13,24.0624188310319,2,1,1,1,2,2,39,2,17.7200451466693,4,5,1,1,1,1,5,5,2,0.693147180559945
"17",17,1,979.346548984562,3,27,3,15,26.4196896272458,1,4.41805628030508,2,1,2,2,23,2,1,3,4,1,723,2,1,9,7,2,6.58479139238572
"18",18,1,0.232687649090075,1,31,1,10,31.1448230047949,1,5.07241172032961,2,2,3,1,36,1,32.6036807738022,5,2,2,1,1,1,2,18,2,0.693147180559945
"19",19,1,0.11954139054736,1,45,1,16,24.738633753706,1,5.20858137428044,2,1,2,3,53,2,16.6733320005331,3,4,1,816,3,2,3,8,2,6.70563909486
"20",20,1,9.04761729533607e-09,1,22,1,12,21.5870331449229,1,1,1,1,1,3,23,2,19.5703857907809,1,5,1,579,2,1,3,13,2,6.36302810354046
"21",21,0,0,1,21,1,1,1,1,1,2,2,2,9,37,1,27.9642629082191,9,6,1,177,3,1,6,7,1,5.18178355029209
"22",22,1,1.5349693478238e-08,1,22,3,1,1,1,2.25810086435323,2,1,2,5,32,2,15.6843871413581,3,4,1,1,1,1,1,9,2,0.693147180559945
"23",23,0,0,3,27,3,14,41.0609303352956,1,5.98955609618144,2,2,3,7,24,2,31.559467676119,5,1,2,1,1,1,3,10,2,0.693147180559945
"24",24,1,1.51365349810621e-06,1,28,1,13,21.095023109729,1,1,1,1,2,3,29,2,23.7907545067406,3,5,1,1,1,1,1,2,2,0.693147180559945
"25",25,1,3.77388672850696e-06,1,26,2,1,1,1,2.27950705695478,2,1,1,5,22,2,15.0665191733194,1,5,1,1,1,1,4,8,2,0.693147180559945
"26",26,1,0.000201846848909956,1,47,1,16,20.7846096908265,1,5.08956458785791,2,2,2,2,19,1,24.8797106092495,5,5,1,256,3,1,1,2,2,5.54907608489522
"27",27,1,73283698.4083544,1,43,1,10,40.1248052954778,1,1,1,2,4,1,17,1,13.6381816969859,8,3,2,509,3,1,5,16,2,6.23441072571837
"28",28,1,4.59540324283597e-06,3,18,5,7,41.424630354416,2,6.03100878451909,1,1,1,2,23,2,30.5614135798723,5,5,1,307,2,1,4,2,2,5.73009978297357
"29",29,0,0,1,35,1,12,35.1710107901379,1,5.67745743467729,2,1,2,7,19,2,22.9782505861521,10,5,1,1,1,1,3,2,2,0.693147180559945
"30",30,1,8.98186171813508,1,39,3,15,42.1070065428546,1,6.07831443772222,2,2,4,1,27,1,31.0322412983658,1,6,2,1,1,1,1,12,2,0.693147180559945
"31",31,1,0.30370165303641,1,38,1,16,38.7298334620742,1,5.913663576844,2,1,3,7,14,2,21.7715410570772,1,5,1,1,1,2,1,16,2,0.693147180559945
"32",32,1,5.12912881358853e-08,1,9,1,9,28.8444102037119,1,1,1,2,1,8,24,1,30.935416596516,2,6,2,443,2,1,2,9,2,6.09582456243222
"33",33,0,0,1,35,1,9,36.5239647354993,1,5.52082433231273,2,2,3,6,10,2,23.5796522451032,1,1,1,1,1,1,5,18,2,0.693147180559945
"34",34,1,0.0332758765300313,1,24,1,13,39.0128184062623,1,5.93171342628067,2,2,3,1,17,1,27.0739727413618,1,6,2,1,1,1,3,15,2,0.693147180559945
"35",35,0,0,1,32,1,13,29.0688837074973,1,1,1,1,1,8,1,2,21.8403296678416,3,5,1,1,1,1,1,2,2,0.693147180559945
"36",36,0,0,1,13,3,13,18.1383571472171,1,4.56165014514318,2,1,2,3,64,2,32.8937684067971,3,5,1,1,1,1,2,2,1,0.693147180559945
"37",37,0,0,2,17,4,13,19.6977156035922,1,4.18926351221599,2,1,2,3,8,2,32.1869538788622,1,1,1,1,1,1,2,9,2,0.693147180559945
"38",38,1,3842.6629666432,1,27,1,15,26.0768096208106,1,5.17643912491478,2,1,3,1,1,1,30.0665927567458,3,3,1,796,2,1,5,10,2,6.68085467879022
"39",39,0,0,1,32,1,13,23.6220236220354,1,3.9803240468277,2,2,3,6,1,2,18.3847763108502,3,3,2,1,1,1,1,18,2,0.693147180559945
"40",40,1,52574.818997361,2,23,3,13,22.5388553391693,1,4.15134772569272,2,1,2,2,26,2,17.7482393492988,6,5,1,117,2,1,9,2,2,4.77068462446567
"41",41,1,0.00850340335548775,1,9,4,10,21.3775583264319,1,3.25315312339557,2,2,1,2,33,1,13.9642400437689,9,3,1,1,1,1,3,17,2,0.693147180559945
"42",42,1,5004.48012425761,1,29,1,8,18.3303027798234,1,4.03470204551708,2,1,2,3,39,2,25.4558441227157,5,5,1,1,1,2,5,2,2,0.693147180559945
"43",43,0,0,1,33,1,8,33.8378486313773,1,5.49689820348497,1,2,3,6,34,2,29.1547594742265,6,6,1,1,1,1,3,20,1,0.693147180559945
"44",44,1,84.0032531186284,1,45,1,13,15.7480157480236,1,4.90534594407285,1,1,2,3,20,2,28.3372546306095,6,4,1,638,4,1,6,2,2,6.45990445437753
"45",45,0,0,1,36,2,14,28.6879765755621,1,4.55637350225228,2,1,1,8,37,2,33.3316666249979,8,1,1,1,1,1,1,14,1,0.693147180559945
"46",46,1,0.0153057834942152,1,27,1,5,41.2189276910499,1,5.97905727213237,2,2,3,1,47,1,11.916375287813,3,3,1,1,1,1,1,11,2,0.693147180559945
"47",47,0,0,1,31,2,11,35.9304884464434,1,5.84226808112671,2,1,1,7,31,2,25.4165300542777,6,5,1,627,2,1,1,11,2,6.4425401664682
"48",48,1,0.0433880184791099,2,28,3,18,39.0768473651598,1,5.76554769967167,2,1,3,6,42,2,33.570820663189,1,6,1,739,3,2,3,11,2,6.60665018619822
"49",49,0,0,1,24,1,11,37.6961536499415,1,1,1,1,1,5,39,2,34.4093010681705,7,3,1,1,1,1,1,7,1,0.693147180559945
"50",50,1,0.362694345629792,1,15,4,14,20.4205778566621,2,3.44591672665459,1,1,2,3,5,2,14.1067359796659,3,5,1,1,1,2,1,9,2,0.693147180559945
"51",51,0,0,1,32,2,16,36.6742416417845,1,5.64160091868249,2,2,3,8,19,1,11.1803398874989,9,3,2,1,1,1,1,24,2,0.693147180559945
"52",52,1,0.0102477691373665,1,24,1,13,35.3977400408557,1,1,1,1,1,8,25,2,34.5832329315812,10,4,1,591,4,1,6,9,2,6.38350663488401
"53",53,1,925278.056814975,2,27,3,16,26.6645832519468,1,4.63367139033228,2,2,2,2,25,1,18.8944436276912,1,3,1,277,4,1,8,2,2,5.62762111369064
"54",54,0,0,1,30,1,13,35.2845575287547,1,1,1,2,3,7,25,2,24.3721152139079,5,1,2,1,1,1,2,13,2,0.693147180559945
"55",55,1,89.4397335805304,3,24,3,9,1,1,1,2,2,2,9,39,1,9.89949493661167,1,3,2,621,2,1,6,7,1,6.43294009273918
"56",56,1,0.128535140825834,1,24,3,11,35.0570962859162,2,5.65961436460948,1,2,1,2,29,1,23.4093998214393,10,1,2,1,1,1,1,4,2,0.693147180559945
"57",57,1,3131634.89875553,1,33,1,11,42.3083916026124,1,1,1,2,4,1,23,1,32.6802692767364,3,2,2,267,3,1,5,21,2,5.59098698051086
"58",58,1,1877646.26687089,1,34,1,11,29.563490998189,1,1,1,1,3,6,14,2,21.540659228538,1,5,1,631,2,1,7,15,2,6.44888939414686
"59",59,0,0,1,36,1,9,31.2409987036266,1,5.54444337132942,2,2,4,4,29,2,20.2977831301844,1,3,2,1,1,1,1,15,2,0.693147180559945
"60",60,1,0.0275051047043143,1,15,4,15,15.6843871413581,1,3.90276135726076,2,1,2,2,30,2,13.114877048604,1,5,1,1,1,2,2,2,2,0.693147180559945
"61",61,0,0,1,31,1,15,25.219040425837,1,4.76609204518766,2,1,3,6,19,2,18.1107702762748,3,5,1,1,1,1,1,15,1,0.693147180559945
"62",62,0,0,1,37,1,9,36.7287353444139,1,5.63741937096589,2,1,3,7,13,2,26.2488094968134,3,5,1,1,1,1,2,11,2,0.693147180559945
"63",63,1,0.00128233179750787,1,38,1,16,34.2928563989645,1,1,1,2,3,1,1,1,27.459060435492,1,6,2,59,3,1,2,22,2,4.0943445622221
"64",64,1,96846467.7543229,1,34,1,12,39.648455203198,1,1,1,1,3,7,19,2,30.4795013082563,3,1,1,50,3,1,7,9,2,3.93182563272433
"65",65,0,0,1,30,1,8,34.5976877840124,1,5.41217488924311,2,2,1,8,25,2,23.9165214862028,5,1,2,1,1,1,1,8,2,0.693147180559945
"66",66,1,6.06119028822142e-08,1,27,2,1,1,1,2.30032663379121,2,1,3,5,15,2,4,3,4,1,116,3,1,2,14,2,4.76217393479776
"67",67,1,38159420.7892051,1,19,1,14,15.0996688705415,1,4.01938980709803,2,1,2,2,35,1,8.36660026534076,1,5,1,158,3,1,10,8,2,5.06890420222023
"68",68,1,6403814.86039754,1,18,3,11,13.076696830622,2,3.21622145269703,1,1,2,3,48,2,29.698484809835,8,1,1,398,4,1,8,2,2,5.98896141688986
"69",69,1,0.000150080096681889,1,26,1,12,24.3310501211929,1,4.06481385082494,1,1,3,6,41,2,28.5657137141714,7,5,1,1,1,1,1,16,2,0.693147180559945
"70",70,0,0,1,25,2,13,39.7114593033296,2,1,1,1,1,2,13,1,35.5246393366632,1,5,1,1,1,1,1,8,1,0.693147180559945
"71",71,0,0,1,39,1,13,31.41655614481,1,1,2,1,1,7,14,2,30.9515750810843,5,1,1,1,1,1,1,9,2,0.693147180559945
"72",72,1,0.539262587298074,1,22,1,15,33.8526217596215,1,1,1,2,1,8,32,2,22.3383079036887,5,1,2,193,2,1,5,8,2,5.26785815906333
"73",73,1,584.825785814932,1,15,5,16,6.08276253029822,2,1,1,1,2,9,3,2,12,3,5,1,502,4,1,6,9,2,6.22059017009974
"74",74,1,4.59745680373832e-06,1,27,2,10,7.07106781186548,1,1,2,2,1,9,18,1,11.3578166916005,3,3,2,1,1,1,1,11,2,0.693147180559945
"75",75,1,387.791493367381,1,27,2,12,34.2198772645373,1,5.53414723893638,2,2,2,2,52,1,16.2172747402269,3,3,2,190,4,1,7,11,2,5.25227342804663
"76",76,1,1.01554204311949e-14,1,21,1,11,34.3365694267788,1,1,1,1,1,7,47,2,26.7207784317748,1,5,1,557,4,1,1,14,2,6.32435896238131
"77",77,1,0.0110329231056656,1,18,4,14,32.0468407179241,1,4.93888872473363,2,1,2,3,40,2,20.6639783197718,1,5,1,1,1,1,4,9,2,0.693147180559945
"78",78,1,1.42986655702308,1,38,1,15,32.4653661614959,1,1,1,2,3,6,43,2,23.685438564654,5,1,2,439,4,1,4,19,2,6.08677472691231
"79",79,0,0,1,25,3,12,21.8403296678416,1,4.92848004997304,2,2,2,3,30,2,22.5388553391693,5,1,2,93,2,1,1,2,2,4.54329478227
"80",80,0,0,2,26,3,12,16.8819430161341,1,4.43248042346365,2,1,2,2,36,2,14.6287388383278,6,5,1,1,1,1,1,2,1,0.693147180559945
"81",81,1,2.67329778975328e-09,1,27,1,13,24.3515913237718,1,3.81127787577001,2,1,2,2,33,1,13.490737563232,1,5,1,222,3,1,1,7,2,5.40717177146012
"82",82,1,3.65918934383808,1,34,1,14,32.218007387174,1,1,1,1,3,6,23,2,26.153393661244,1,5,1,502,3,1,4,2,2,6.22059017009974
"83",83,1,3.49957528468532e-05,1,17,2,13,32.78719262151,1,4.87542086880809,2,1,1,3,31,1,31.6859590355097,3,3,1,77,3,1,4,10,2,4.35670882668959
"84",84,0,0,2,23,3,7,29.1890390386528,1,4.83390555256263,2,2,2,2,61,2,27.367864366808,9,6,2,1,1,1,2,2,1,0.693147180559945
