"","INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"1",1,1,NA,1,31,1,12,824,1,1,1,2,1,7,22,2,1007,1,6,2,1,1,1,3,11,2
"2",2,1,NA,2,23,2,12,789,2,1,1,2,2,7,17,2,859,5,1,1,191,2,1,3,2,2
"3",3,0,NA,1,27,3,13,656,2,1,1,1,2,2,26,1,99,9,5,1,1,1,1,1,11,1
"4",4,1,NA,1,18,3,13,234,2,1,1,2,2,3,70,2,283,5,3,1,1,1,2,1,5,1
"5",5,1,NA,1,42,1,13,1325,1,1,1,2,2,7,41,2,664,1,1,2,823,3,1,5,2,2
"6",6,0,NA,1,29,1,15,1075,1,731,2,2,1,8,3,1,1168,1,2,1,111,2,1,3,13,2
"7",7,1,NA,1,43,1,13,552,1,563,2,1,2,2,12,1,414,1,4,1,1,1,1,1,2,2
"8",8,1,NA,1,37,1,13,455,1,392,2,2,2,2,23,1,1103,3,2,1,1,1,1,6,2,2
"9",9,0,NA,3,19,3,13,1631,2,1256,1,1,1,2,1,1,1217,3,1,1,1,1,1,1,10,1
"10",10,1,NA,1,33,1,9,1741,1,1,1,1,4,4,18,2,1360,3,4,1,1,1,1,4,2,2
"11",11,0,NA,1,25,1,13,828,1,517,2,2,2,2,20,1,1074,1,1,1,1,1,1,3,12,1
"12",12,1,NA,1,24,3,8,181,2,340,1,1,2,3,25,2,608,1,1,2,1,1,2,3,2,2
"13",13,1,NA,2,20,3,14,311,2,1,1,1,2,2,58,1,294,3,4,1,1,1,1,1,7,2
"14",14,0,NA,1,19,4,13,880,1,278,2,2,3,6,11,2,370,5,1,1,106,3,1,3,17,2
"15",15,0,NA,1,17,4,13,256,1,207,2,2,2,3,22,2,624,3,1,2,1,1,2,1,2,1
"16",16,1,NA,1,18,3,13,579,2,1,1,1,2,2,39,2,314,4,5,1,1,1,1,5,5,2
